PLA Overture Red,#F52B1F,2.5
PLA Overture Matte Pink,#F2B2CA,3
PLA Overture Silk Red,#F2061D,3
PLA Paramount Volcano Orange Red,#AA361F,3
PLA Overture Matte Orange,#F8B557,2.5
PLA Hatchbox Matte Orange,#FFCC80,3
PLA Overture Matte Yellow,#F9EC78,3.5
PLA DO3D Silk Green,#41CB87,2.5
PLA Overture Green,#25874C,4.5
PLA Overture Matte Green,#34BC39,3.5
PLA Overture Blue,#0E136E,3.5
PLA Overture Matte Blue,#789BBB,0.5
PLA Hatchbox Matte Navy,#73879E,1.5
PLA colorme3d Purple Haze,#993B93,3.5
PLA Paramount Decepticon Purple,#704348,3.5
PLA Overture Matte Brown,#8B665E,1
PLA Overture Brown,#D0A574,3
PLA Overture White,#FFFFFF,3
PLA Overture Silk Silver,#D8D5DC,3
PLA Paramount Game Catridge Gray,#C5C0BC,3.5
PLA Overture Light Gray,#989898,2
PLA Overture Space Gray,#868686,3
PLA 3dwarhorse Gray,#767171,3
PLA Overture Black,#000000,1.5 
